subjectID,wave,ROC1,ROC2,ROC3,ROC4,SST1,WTP1,WTP2,WTP3,WTP4
DEV185,1,0.7,2.8,1.4,0.7,0.5,1.1,0,1.1,1.1
DEV186,1,2.1,0.7,0,0.7,0,0,0,0,0
DEV187,1,0,1.4,0,0,0,4.3,1.1,0,0
DEV188,1,3.5,0,0,0,0,0,0,0,0
DEV189,1,0,5,0,3.5,0.5,6.5,15.1,9.7,20.4
DEV190,1,2.8,0,0,0,0,1.1,0,1.1,2.2
DEV191,1,9.2,1.4,5.7,2.1,6.6,3.2,4.3,4.3,0
DEV192,1,0,0,0,NA,0,1.1,0,0,0
DEV193,1,2.8,0,0,0,0,1.1,1.1,1.1,0
DEV194,1,0,0,0,0.7,0,0,0,0,0
DEV195,1,0,0,0,0,0,0,0,0,0
DEV196,1,3.5,7.8,0.7,0.7,2.8,0,2.2,3.2,0
DEV197,1,0,0,0,0,0.5,0,0,0,0
DEV198,1,0.7,0,0,0,0.9,0,0,0,0
DEV199,1,0,0,0,0,0,0,0,0,0
DEV200,1,2.8,1.4,4.3,2.1,0.5,0,0,NA,3.2
DEV201,1,8.5,5.7,1.4,1.4,0,0,2.2,1.1,1.1
DEV202,1,0,0,0,1.4,0,0,0,0,3.2
DEV203,1,0.7,0.7,0.7,2.1,0,5.4,5.4,0,0
DEV204,1,1.4,0,7.1,0.7,0.5,0,0,0,0
DEV205,1,0,0,0,0,0,0,0,0,0
DEV206,1,0,2.1,0,0,0,0,0,0,0
DEV207,1,0,0,0,0,0,0,0,NA,NA
DEV208,1,0,0,0,0,0,0,0,0,0
DEV209,1,7.8,1.4,2.8,2.8,0.9,1.1,3.2,1.1,5.4
DEV210,1,0,0,0,1.4,3.8,0,0,0,0
DEV211,1,0,0,0,0.7,0,0,0,0,0
DEV215,1,2.8,0,0,0,0,1.1,0,0,0
DEV216,1,0,0.7,1.4,3.5,2.8,0,0,0,0
DEV217,1,0,0,0,0,0,0,0,0,0
DEV218,1,0,0,0,0,0,0,0,0,0
DEV219,1,0,1.4,0,1.4,1.4,0,0,1.1,0
DEV220,1,0,0,0,0.7,0,1.1,0,0,0
DEV221,1,3.5,1.4,NA,NA,NA,0,0,0,0
DEV222,1,0,0,0,0,0,1.1,2.2,1.1,0
DEV223,1,0,0,0,0,0,1.1,3.2,0,0
DEV224,1,0,0,0,1.4,0,0,1.1,1.1,0
DEV225,1,0.7,0,0,0,0,0,0,0,2.2
DEV228,1,0,0,2.1,2.1,0,1.1,1.1,0,1.1
DEV230,1,0,0,0,0,0,0,0,0,0
DEV231,1,0,2.1,5,7.8,0,0,3.2,1.1,3.2
DEV232,1,0,1.4,0,0.7,0,0,0,0,0
DEV233,1,0,0.7,0,0.7,0,0,1.1,0,1.1
DEV234,1,0,0,0,0,0,0,0,0,0
DEV235,1,0,0,0,0,0,0,0,0,0
DEV236,1,0,0,0,0,0,1.1,0,0,0
DEV237,1,0.7,0,0,0.7,0.9,3.2,5.4,3.2,2.2
DEV238,1,0,0,0,0,0,1.1,0,0,0
DEV239,1,0,0,0,0.7,0,0,0,0,0
DEV240,1,0,0,0,0,0,0,1.1,0,0
DEV241,1,0,0.7,0,0.7,1.4,0,1.1,0,2.2
DEV243,1,0.7,0,0,0,0.9,0,0,0,1.1
DEV244,1,0,0.7,0,0,0.5,0,0,0,0
DEV246,1,0.7,2.1,2.1,0,0,0,0,1.1,1.1
DEV247,1,0.7,0,0,0,0,0,0,0,0
DEV249,1,0,0,0,0,0,0,1.1,0,0
DEV250,1,1.4,0,2.1,0,0,0,0,0,1.1
DEV251,1,0,0,0,0,0,0,0,0,0
DEV252,1,0,0.7,0,0.7,0,0,0,0,0
DEV253,1,12.8,10.6,12.1,4.3,5.2,11.8,7.5,3.8,NA
DEV254,1,0,0,0,0,0,0,0,0,0
DEV255,1,28.4,27.7,30.5,24.1,0,1.1,0,10.8,12.9
DEV256,1,0,0,0,0,0,0,0,0,0
DEV257,1,0,0.7,0,0,0,0,0,0,0
DEV258,1,0.7,0,0,0,0,0,1.1,0,0
DEV259,1,0,0,0,0,0,0,0,0,0
DEV260,1,0,0,0,0,0,1.1,0,0,1.1
DEV261,1,0,0,0,0.7,0,0,0,0,0
DEV262,1,1.4,0,0,1.4,0.5,1.1,0,0,0
DEV263,1,2.1,0.7,0,0.7,1.4,0,0,0,4.3
DEV264,1,0,0,0,0,0,0,0,0,0
DEV265,1,0,0,0,0,1.4,0,0,0,0
DEV266,1,2.8,6.4,5.7,0.7,1.9,2.2,0,1.1,3.2
DEV267,1,0.7,0,0.7,0,9.9,12.9,1.1,1.1,2.2
DEV268,1,0,0,2.1,0.7,0.9,0,0,1.1,0
DEV269,1,0.7,1.4,2.8,2.8,0,0,0,0,0
DEV270,1,1.4,2.1,4.3,2.8,2.4,2.2,4.3,2.2,4.3
DEV271,1,0,0,0.7,0,0,0,0,1.1,4.3
DEV272,1,0,0.7,0.7,0,0,0,4.3,0,2.2
DEV273,1,4.3,7.1,9.9,6.4,1.9,5.4,1.1,5.4,7.5
DEV274,1,4.3,4.3,2.1,7.8,0.9,0,0,0,0
DEV275,1,1.4,2.8,2.8,0.7,0,0,2.2,0,1.1
DEV276,1,0.7,0,0,0.7,0,0,0,0,0
DEV277,1,0,1.4,6.4,8.5,0.5,0,2.2,1.1,0
DEV278,1,9.2,2.1,5.7,14.9,1.9,3.2,4.3,5.4,6.5
DEV281,1,0.7,2.1,5,6.4,0.5,0,1.1,2.2,1.1
DEV282,1,0,0,0,0,0,0,0,0,0
DEV283,1,1.4,0,27.7,14.2,0,10.8,16.1,12.9,22.6
DEV284,1,11.3,7.1,21.3,6.4,0,8.6,3.2,0,5.4
DEV285,1,0,0,0.7,0,0,1.1,0,0,0
DEV286,1,2.1,0,1.4,4.3,0,0,0,0,0
DEV290,1,1.4,0,2.8,3.5,0,0,2.2,0,0
DEV291,1,7.1,5.7,2.8,4.3,1.4,0,0,0,2.2
DEV292,1,0.7,7.8,5.7,4.3,0.5,0,0,5.4,4.3
DEV293,1,0,0,0,0.7,0,3.2,3.2,2.2,5.4
DEV294,1,0,0,0,0,0.9,0,0,0,0
DEV295,1,3.5,3.5,17,27,0.5,5.4,4.3,5.4,21.5
DEV296,1,0,0,0,0,0,0,0,0,0
DEV297,1,2.1,2.8,3.5,7.8,1.9,0,1.1,2.2,0
DEV298,1,0,0,0.7,0,0.5,1.1,0,0,0
DEV299,1,0,0,1.4,0,0,0,0,0,0
DEV300,1,0,0,0,0,0,0,0,0,0
DEV301,1,0,0,1.4,0,0,0,0,0,0
DEV302,1,0,0,0,0,0,0,0,0,0
DEV303,1,0,0,0,0,0,0,0,0,0
DEV304,1,4.3,2.8,6.4,2.8,0.5,2.2,1.1,5.4,4.3
DEV305,1,0,0,0,0,1.9,0,0,0,0
DEV306,1,0,0,0,1.4,0,0,0,2.2,4.3
DEV307,1,0,0,0.7,0,0,1.1,2.2,0,0
DEV308,1,0,0,0,0,0,0,0,0,0
DEV309,1,0.7,3.5,0,6.4,0.9,1.1,1.1,0,6.5
DEV310,1,0,0,0,0,0,0,0,0,0
DEV311,1,0,0,0,0,0,0,5.4,0,0
DEV312,1,0,0,0,1.4,0,3.2,3.2,0,0
DEV001,2,1.4,1.4,0,0,NA,0,0,11.8,6.5
DEV004,2,0,0,0,0,0,0,0,0,0
DEV005,2,0,0,1.4,2.1,0,4.3,0,2.2,2.2
DEV008,2,1.4,4.3,15.6,8.5,0,1.1,6.5,3.2,2.2
DEV009,2,2.8,7.8,5,7.8,0,0,9.7,1.1,1.1
DEV010,2,0,0,0,0,0,0,0,0,0
DEV011,2,37.6,35.5,35.5,31.9,24.5,0,1.1,25.8,26.9
DEV012,2,0.7,0,2.1,1.4,1.9,0,0,0,2.2
DEV013,2,7.1,3.5,0,2.1,3.8,0,2.2,2.2,2.2
DEV014,2,0,0,0,0,0,0,0,0,0
DEV015,2,5.7,1.4,7.1,1.4,0.9,4.3,0,0,1.1
DEV016,2,0,11.3,1.4,6.4,1.4,1.1,1.1,2.2,1.1
DEV017,2,0.7,0.7,2.1,0,0,0,2.2,1.1,0
DEV018,2,1.4,0,3.5,0,0,6.5,0,0,0
DEV019,2,0,1.4,6.4,3.5,0,0,0,2.2,3.2
DEV020,2,38.4,46.1,NA,NA,18.9,46.2,40.9,47.3,36.6
DEV021,2,0.7,0,0.7,6.4,0.9,2.2,0,0,2.2
DEV023,2,5,2.8,2.8,2.8,0.5,7.5,3.2,3.2,5.4
DEV024,2,0,0,0,0,0,2.2,3.2,0,0
DEV025,2,4.3,5.7,0.7,7.1,2.8,1.1,3.2,4.3,5.4
DEV026,2,0,0,0,0,0,0,0,0,0
DEV027,2,0,0,0,0,NA,1.1,0,0,0
DEV028,2,0,0,0,0,0,0,0,0,0
DEV029,2,0.7,0,0,1.4,1.9,1.1,1.1,0,2.2
DEV030,2,9.2,5,0.7,0,0,0,0,0,0
DEV031,2,0,0,0,0,0,0,0,0,0
DEV033,2,0,0.7,2.1,0,0,0,0,0,0
DEV035,2,0,0,0,0,0,0,0,0,0
DEV036,2,0,0,0,0,0,0,0,0,0
DEV038,2,0,0,0.7,0.7,0,1.1,0,0,0
DEV039,2,3.5,6.4,14.9,7.8,0,0,0,0,2.2
DEV040,2,0,0,0,3.5,1.9,1.1,7.5,6.5,5.4
DEV041,2,0,0,0.7,0,0,0,5.4,3.2,0
DEV042,2,0.7,0,1.4,3.5,0,0,1.1,1.1,2.2
DEV043,2,2.8,0,2.8,0.7,0,0,2.2,1.1,0
DEV044,2,0,0,0,0,0,0,0,0,0
DEV046,2,0,0,0,0,0,0,0,0,0
DEV047,2,14.2,5.7,9.9,9.9,0,4.3,9.7,2.2,1.1
DEV048,2,4.3,10.6,5.7,3.5,0,1.1,3.2,5.4,10.8
DEV049,2,0,1.4,0,2.1,0.5,0,0,7.5,1.1
DEV050,2,0,0,0,0,0,0,0,0,0
DEV051,2,0,0,0.7,0,0,0,0,0,0
DEV052,2,0,0,0,0,1.9,0,0,0,1.1
DEV053,2,0,0,3.5,0.7,0,2.2,0,0,0
DEV054,2,0,0,0,0,0,1.1,0,0,0
DEV055,2,5.7,3.5,12.1,13.5,3.3,9.7,6.5,7.5,9.7
DEV056,2,1.4,5.7,0.7,9.2,0,0,0,1.1,0
DEV057,2,0,0,0,0,0,0,0,0,0
DEV058,2,0,0,0,0,0.5,1.1,0,0,0
DEV059,2,0,0.7,0,0,0,2.2,0,0,0
DEV060,2,2.8,0,0,1.4,0,0,0,3.2,1.1
DEV061,2,0,1.4,0,0,NA,0,0,0,0
DEV062,2,0,2.1,0,0.7,0,0,0,0,0
DEV063,2,0.7,3.5,13.5,12.1,5.2,7.5,15.1,7.5,9.7
DEV064,2,2.1,0.7,1.4,2.1,0,1.1,0,0,0
DEV065,2,0,0,0,0,0,0,0,0,0
DEV066,2,4.3,2.8,13.5,3.5,0.5,8.6,4.3,3.2,10.8
DEV067,2,2.1,0,1.4,0.7,3.3,55.9,8.6,0,0
DEV068,2,0,0,0,0,0,0,0,0,0
DEV069,2,0.7,0,0,0.7,0.9,0,3.2,3.2,0
DEV070,2,1.4,0.7,0.7,0,0,0,0,0,0
DEV071,2,0,0,0,0,0,0,0,0,0
DEV072,2,1.4,0.7,0,0,0.5,0,8.6,0,0
DEV073,2,0,0,0.7,0,0,0,0,0,0
DEV074,2,0,0,0,0,0,0,0,0,0
DEV075,2,0,0,2.1,1.4,0,2.2,0,4.3,1.1
DEV076,2,2.1,6.4,0,0.7,0,12.9,0,2.2,0
DEV077,2,0.7,0,0,0,0,0,0,0,0
DEV078,2,4.3,0.7,2.8,0.7,0,4.3,12.9,5.4,3.2
DEV079,2,0,0,0,0,0,0,0,0,0
DEV081,2,0,0,0,0,0,0,0,0,0
DEV083,2,0,0,0,0,0,0,0,0,0
DEV084,2,0,0,0,0,0,0,0,0,0
DEV085,2,5,4.3,0.7,3.5,0.5,0,4.3,1.1,0
DEV086,2,0,0,0,5.7,0,0,0,2.2,2.2
DEV087,2,0.7,2.1,2.1,0.7,0,0,0,1.1,0
DEV088,2,0.7,0,1.4,1.4,0,3.2,3.2,2.2,4.3
DEV089,2,0,0,0,0,0,0,0,0,0
DEV090,2,10.6,3.5,0.7,2.8,6.6,1.1,3.2,1.1,3.2
DEV091,2,0,0,0,0,0,2.2,1.1,0,0
DEV093,2,0,0,0,0,0,0,0,0,0
DEV094,2,0,0,0,0,0,0,0,0,0
DEV096,2,0,0,0,0.7,0,0,0,0,0
DEV097,2,0,0,0,0,0,0,0,0,0
DEV098,2,0,0,0,0,0,0,0,0,0
DEV099,2,14.9,13.5,19.9,23.4,14.2,20.4,23.7,18.3,25.8
DEV100,2,3.5,5,22.7,11.3,0.9,3.2,3.2,1.1,0
DEV101,2,22.7,25.5,19.9,19.9,17.5,6.5,8.6,9.7,5.4
DEV102,2,0,0,0,0,0.9,0,0,0,0
DEV103,2,0,2.8,0,1.4,0,0,0,0,0
DEV104,2,0,0,0,0,0,0,0,0,0
DEV107,2,0,0,0,0.7,0,0,0,0,0
DEV108,2,0,0,0,0,0,0,0,0,0
DEV109,2,0,0,0,0,0,0,0,0,0
DEV110,2,0,0,0,0,0,0,0,2.2,3.2
DEV112,2,0,0,0,0,0,0,1.1,0,0
DEV113,2,0,0,0,0,0,0,0,0,0
DEV114,2,0,0,0,0,0,0,0,0,0
DEV115,2,0,0,0,0,0,0,0,0,0
DEV116,2,2.8,2.8,7.1,4.3,0,18.3,9.7,12.9,12.9
DEV117,2,2.8,0.7,1.4,7.1,2.4,2.2,1.1,3.2,7.5
DEV118,2,4.3,5.7,17,13.5,0,0,2.2,1.1,0
DEV119,2,0.7,1.4,0,0,0.5,0,0,0,0
DEV120,2,0,0,0,0.7,0,0,0,2.2,0
DEV121,2,0,1.4,0,0.7,0.9,0,0,2.2,0
DEV122,2,0,0.7,1.4,0,0.9,0,1.1,3.2,6.5
DEV124,2,0,0,0,0,0,0,0,0,0
DEV125,2,0,1.4,2.1,0,0,1.1,0,0,1.1
DEV126,2,0.7,0,2.1,2.1,1.9,0,2.2,4.3,14
DEV127,2,0,0,0,2.1,0.9,0,0,1.1,0
DEV128,2,0,0.7,1.4,0.7,0,0,1.1,0,1.1
DEV129,2,0,2.8,0.7,0.7,0,0,0,0,0
DEV130,2,0,0,0.7,16.3,0,0,0,0,0
DEV132,2,1.4,4.3,0.7,0,3.3,4.3,5.4,5.4,2.2
DEV133,2,0,0,0,0,1.4,0,0,0,0
DEV134,2,0,3.5,0,2.1,0,0,2.2,0,0
DEV135,2,0.7,1.4,0,0.7,0,0,0,0,0
DEV137,2,4.3,2.1,5,0.7,1.4,0,0,2.2,5.4
DEV138,2,0,0.7,0.7,2.8,2.4,2.2,4.3,2.2,4.3
DEV139,2,0,0,0,0,0,0,0,0,0
DEV140,2,0,1.4,0.7,0,1.9,0,0,0,0
DEV141,2,1.4,0.7,3.5,2.1,0,0,0,0,0
DEV143,2,2.1,1.4,0,3.5,4.7,6.5,5.4,1.1,14
DEV144,2,0,0,0,0,1.4,0,0,0,3.2
DEV145,2,1.4,3.5,3.5,2.1,3.8,1.1,2.2,3.2,2.2
DEV147,2,0,0,0,0,0,0,0,0,0
DEV149,2,0,0.7,2.1,1.4,8.5,3.2,7.5,10.8,5.4
DEV150,2,0,0,0,0.7,0,0,5.4,0,0
DEV151,2,4.3,8.5,23.4,17.7,0.9,11.8,6.5,14,15.1
DEV153,2,0,0,0,0.7,0,0,0,0,0
DEV154,2,0.7,0,0.7,0.7,0,0,0,0,0
DEV155,2,0,0,0,0,0,0,0,0,0
DEV156,2,0,0,0,0,0,0,0,0,0
DEV157,2,0,0,0,0,0,1.1,0,0,0
DEV158,2,6.5,14.2,18.4,13.5,0.5,5.4,6.5,2.2,4.3
DEV159,2,0,0,0.7,0,0,0,0,0,0
DEV161,2,0,0,0,1.4,0,2.2,0,0,0
DEV163,2,0,0,0,1.4,0,2.2,0,1.1,1.1
DEV164,2,1.4,0,1.4,1.4,0,0,0,0,0
DEV167,2,0,0,0.7,8.3,2.4,0,3.2,0,1.1
DEV177,2,1.4,0,3.5,2.1,0,0,0,0,0
DEV178,2,0.7,0,0,0,0,0,0,0,0
DEV179,2,0,0,0,0.7,0,0,0,0,0
DEV180,2,0,0.7,0.7,4.3,0,1.1,0,2.2,0
DEV181,2,0,0,0,1.4,0,0,0,0,0
DEV182,2,0,0,0,0,0,0,0,0,0
DEV183,2,0,0,0,0,0,0,0,0,0
DEV185,2,2.8,11.3,7.8,9.9,0.9,6.5,9.7,0,6.5
DEV186,2,2.1,2.1,0.7,7.8,0,0,0,0,1.1
DEV187,2,0,0,0,1.4,0.5,1.1,0,0,0
DEV188,2,0,0,0,1.4,0,0,0,0,0
DEV189,2,5.7,2.1,0,0,0.5,2.2,0,2.2,9.7
DEV190,2,2.8,2.1,11.3,11.3,0,8.6,2.2,8.6,9.7
DEV191,2,1.4,0,1.4,1.4,3.8,2.2,1.1,1.1,0
