subjectID,wave,excluded_run,ROC1,ROC2,ROC3,ROC4,SST1,WTP1,WTP2,WTP3,WTP4
DEV249,2,FALSE,0.7,1.4,0,0,0,2.2,1.1,2.2,1.1
DEV250,2,FALSE,0,0,9.2,0.7,0.9,0,0,0,0
DEV251,2,FALSE,0,0,0,0,0,0,0,0,0
DEV252,2,FALSE,1.4,3.5,2.8,3.5,0,0,3.2,1.1,0
DEV254,2,FALSE,0,0.7,0,0,0,1.1,1.1,1.1,0
DEV255,2,FALSE,5,4.3,NA,2.1,0,3.2,6.5,3.2,7.5
DEV255,2,TRUE,NA,NA,15.6,NA,NA,NA,NA,NA,NA
DEV256,2,FALSE,0.7,0.7,0,0.7,0.9,0,0,0,0
DEV257,2,FALSE,1.4,1.4,0.7,0.7,0,0,0,0,0
DEV258,2,FALSE,0,0,0,0,0,0,0,0,0
DEV259,2,FALSE,0,0,0,0,0,0,0,0,0
DEV260,2,FALSE,0,0,0,1.4,0.9,0,0,5.4,2.2
DEV261,2,FALSE,6.4,0,1.4,3.5,0,1.1,0,0,1.1
DEV262,2,FALSE,0.7,0,0,0,0,0,0,0,0
DEV263,2,FALSE,2.1,2.1,2.8,1.4,3.3,3.2,1.1,0,0
DEV264,2,FALSE,0,0,0,0,0,0,0,0,0
DEV265,2,FALSE,0,0.7,0,0,0.9,2.2,1.1,0,1.1
DEV266,2,FALSE,9.2,5,3.5,7.1,0.9,6.5,NA,7.5,8.6
DEV266,2,TRUE,NA,NA,NA,NA,NA,NA,11.8,NA,NA
DEV267,2,FALSE,1.4,2.1,0,1.4,0.5,0,1.1,0,4.3
DEV268,2,FALSE,2.1,0.7,0.7,2.8,0,0,0,2.2,0
DEV269,2,FALSE,0,4.3,0.7,0.7,3.3,0,1.1,0,0
DEV270,2,FALSE,0,0,1.4,0.7,0,0,1.1,0,0
DEV271,2,FALSE,0,0,1.4,2.1,0,2.2,0,0,2.2
DEV272,2,FALSE,7.8,9.2,6.4,NA,0,4.3,5.4,0,4.3
DEV272,2,TRUE,NA,NA,NA,11.3,NA,NA,NA,NA,NA
DEV273,2,FALSE,NA,NA,NA,NA,0,6.5,1.1,3.2,5.4
DEV273,2,TRUE,12.8,10.6,16.3,14.9,NA,NA,NA,NA,NA
DEV274,2,FALSE,0,7.8,NA,4.3,6.6,0,0,4.3,7.5
