subjectID,wave,run1,run2,run3,run4
DEV153,1,1,1,1,1
DEV153,2,1,1,1,1
DEV154,1,1,1,1,0
DEV154,2,1,1,1,1
DEV155,1,1,1,1,1
DEV155,2,1,1,1,1
DEV156,1,1,1,1,1
DEV156,2,1,1,1,1
DEV157,1,1,0,1,1
DEV157,2,1,1,1,1
DEV158,1,1,1,1,1
DEV158,2,0,1,1,1
DEV159,1,1,1,1,1
DEV159,2,1,1,1,1
DEV161,1,1,1,1,1
DEV161,2,1,1,1,1
DEV163,1,1,1,1,1
DEV163,2,1,1,1,1
DEV164,1,1,1,1,1
DEV164,2,1,1,1,1
DEV166,1,1,1,1,1
DEV166,2,0,0,0,0
DEV167,1,1,1,1,1
DEV167,2,1,1,1,0
DEV168,1,1,1,1,1
DEV168,2,0,0,0,0
DEV169,1,1,1,1,1
DEV169,2,0,0,0,0
DEV170,1,1,1,1,1
DEV170,2,0,0,0,0
DEV171,1,1,1,1,1
DEV171,2,0,0,0,0
DEV172,1,1,1,1,1
DEV172,2,0,0,0,0
DEV173,1,1,1,1,1
DEV173,2,0,0,0,0
DEV174,1,1,1,1,1
DEV174,2,0,0,0,0
DEV176,1,0,1,1,1
DEV176,2,0,0,0,0
DEV177,1,1,1,1,1
DEV177,2,1,1,1,1
DEV178,1,1,1,1,1
DEV178,2,1,1,1,1
DEV179,1,1,1,1,1
DEV179,2,1,1,1,1
DEV180,1,1,1,1,1
DEV180,2,1,1,1,1
DEV181,1,1,1,1,1
DEV181,2,1,1,1,1
DEV182,1,1,1,1,1
DEV182,2,1,1,1,1
DEV183,1,1,1,1,1
DEV183,2,1,1,1,1
DEV185,1,1,1,1,1
DEV185,2,1,1,1,1
DEV186,1,1,1,1,1
DEV186,2,1,1,1,1
DEV187,1,1,1,1,1
DEV187,2,1,1,1,1
DEV188,1,1,1,1,1
DEV188,2,1,1,1,1
DEV189,1,1,1,1,1
DEV189,2,1,1,1,1
DEV190,1,1,1,1,1
DEV190,2,0,1,1,1
DEV191,1,1,2,1,1
DEV191,2,1,1,1,1
DEV192,1,1,1,1,0
DEV192,2,1,1,1,1
DEV193,1,1,1,1,1
DEV193,2,1,1,1,1
DEV194,1,1,0,1,1
DEV194,2,1,1,0,1
DEV195,1,1,1,1,1
DEV195,2,1,1,1,1
DEV196,1,1,1,1,1
DEV196,2,1,1,1,1
DEV197,1,1,1,1,1
DEV197,2,1,1,1,1
DEV198,1,1,1,1,1
DEV198,2,1,1,1,1
DEV199,1,1,1,1,1
DEV199,2,1,1,1,1
DEV200,1,1,1,1,1
DEV200,2,1,1,1,1
DEV201,1,1,1,1,1
DEV201,2,1,1,1,1
DEV202,1,1,1,1,1
DEV202,2,0,0,0,0
DEV203,1,1,1,1,1
DEV203,2,1,1,1,1
DEV204,1,1,1,1,1
DEV204,2,1,1,1,1
DEV205,1,1,1,1,1
DEV205,2,1,1,1,1
DEV206,1,1,1,1,1
DEV206,2,1,1,1,1
DEV207,1,1,1,1,1
DEV207,2,1,1,1,1
DEV208,1,1,1,1,1
DEV208,2,1,1,1,1
DEV209,1,1,1,1,1
DEV209,2,1,1,1,1
DEV210,1,1,1,1,1
DEV210,2,0,1,1,1
DEV211,1,1,1,1,1
DEV211,2,1,1,1,1
DEV215,1,1,1,1,1
DEV215,2,1,1,1,1
DEV216,1,1,1,1,1
DEV216,2,1,1,1,1
DEV217,1,1,1,1,1
DEV217,2,1,0,1,1
DEV218,1,1,1,1,1
DEV218,2,1,1,1,1
DEV219,1,1,1,1,2
DEV219,2,1,1,1,1
DEV220,1,1,1,1,1
DEV220,2,1,1,1,1
DEV221,1,1,1,0,0
DEV221,2,0,0,0,0
DEV222,1,1,1,1,1
DEV222,2,1,1,1,1
DEV223,1,1,1,1,1
DEV223,2,1,1,1,1
DEV224,1,1,1,1,1
DEV224,2,1,1,1,1
DEV225,1,1,0,1,1
DEV225,2,1,2,1,1
DEV228,1,1,1,1,1
DEV228,2,1,1,1,1
DEV230,1,1,1,1,1
DEV230,2,1,1,1,1
DEV231,1,1,1,1,1
DEV231,2,1,1,1,1
DEV232,1,1,1,1,1
DEV232,2,1,1,1,1
DEV233,1,1,1,1,1
DEV233,2,1,1,1,1
DEV234,1,1,1,1,1
DEV234,2,1,1,1,1
DEV235,1,1,1,1,1
DEV235,2,1,1,1,1
DEV236,1,1,1,1,1
DEV236,2,1,1,1,1
DEV237,1,1,1,1,1
DEV237,2,1,1,1,1
DEV238,1,1,1,1,1
DEV238,2,1,1,1,1
DEV239,1,1,1,1,1
DEV239,2,1,1,1,1
DEV240,1,1,1,1,1
DEV240,2,1,1,1,1
DEV241,1,1,1,1,1
DEV241,2,1,1,1,1
DEV242,1,1,1,0,0
DEV242,2,0,0,0,0
DEV243,1,1,1,1,1
DEV243,2,1,1,0,1
DEV244,1,1,1,1,1
DEV244,2,1,1,1,1
DEV246,1,1,1,1,1
DEV246,2,1,1,1,1
DEV247,1,1,1,1,1
DEV247,2,1,1,1,1
DEV249,1,1,1,1,1
DEV249,2,1,1,1,1
DEV250,1,1,1,1,1
DEV250,2,1,1,1,1
DEV251,1,1,1,1,1
DEV251,2,1,1,1,1
DEV252,1,1,1,1,1
DEV252,2,1,1,1,1
DEV253,1,1,1,1,1
DEV253,2,0,0,0,0
DEV254,1,1,1,1,1
DEV254,2,1,1,1,1
DEV255,1,1,1,1,1
DEV255,2,1,1,1,1
DEV256,1,1,1,1,1
DEV256,2,1,1,1,1
DEV257,1,1,1,1,1
DEV257,2,1,1,1,1
DEV258,1,1,1,1,1
DEV258,2,1,1,1,1
DEV259,1,1,1,1,1
DEV259,2,1,1,1,1
DEV260,1,1,1,1,1
DEV260,2,1,1,1,1
DEV261,1,1,1,1,1
DEV261,2,1,1,1,1
DEV262,1,1,1,1,1
DEV262,2,1,1,1,1
DEV263,1,1,1,1,1
DEV263,2,1,1,1,1
DEV264,1,1,1,1,1
DEV264,2,1,1,1,1
DEV265,1,1,1,1,1
DEV265,2,1,1,1,1
DEV266,1,1,1,1,1
DEV266,2,1,1,1,1
DEV267,1,1,1,1,1
DEV267,2,1,1,1,1
DEV268,1,1,1,1,1
DEV268,2,1,1,1,1
DEV269,1,1,1,1,1
DEV269,2,1,1,1,1
DEV270,1,1,1,1,1
DEV270,2,1,1,1,1
DEV271,1,1,1,1,1
DEV271,2,1,1,1,1
DEV272,1,0,1,1,1
DEV272,2,1,1,1,1
DEV273,1,1,1,1,1
DEV273,2,1,1,1,1
DEV274,1,1,1,1,1
DEV274,2,1,1,1,1
DEV275,1,1,1,1,1
DEV275,2,2,1,1,1
DEV276,1,1,1,1,1
DEV276,2,1,1,1,1
DEV277,1,1,1,1,1
DEV277,2,1,1,1,1
DEV278,1,1,1,1,1
DEV278,2,0,0,0,0
DEV281,1,1,1,1,1
DEV281,2,1,1,1,1
DEV282,1,1,1,1,1
DEV282,2,1,1,1,1
DEV283,1,1,1,1,1
DEV283,2,1,1,1,1
DEV284,1,1,1,1,1
DEV284,2,1,1,1,1
DEV285,1,1,1,1,1
DEV285,2,1,1,1,1
DEV286,1,1,1,1,1
DEV286,2,1,1,1,1
DEV290,1,1,1,1,1
DEV290,2,1,1,1,1
DEV291,1,1,1,1,1
DEV291,2,1,1,1,1
DEV292,1,0,1,1,1
DEV292,2,1,1,1,1
DEV293,1,1,1,1,1
DEV293,2,0,0,0,0
DEV294,1,1,1,1,1
DEV294,2,1,1,1,1
DEV295,1,1,1,1,1
DEV295,2,2,2,2,1
DEV296,1,1,1,1,1
DEV296,2,1,1,1,1
DEV297,1,1,1,1,1
DEV297,2,1,1,1,1
DEV298,1,1,1,1,1
DEV298,2,1,1,1,1
DEV299,1,1,1,1,1
DEV299,2,1,1,1,1
DEV300,1,1,1,1,1
DEV300,2,1,1,1,1
DEV301,1,1,1,1,1
DEV301,2,1,1,1,1
DEV302,1,1,1,1,1
DEV302,2,1,1,1,1
DEV303,1,1,1,1,1
DEV303,2,1,1,1,1
DEV304,1,1,1,1,1
DEV304,2,1,1,0,1
DEV305,1,1,1,1,1
DEV305,2,1,1,1,1
DEV306,1,1,1,1,1
DEV306,2,1,1,1,1
DEV307,1,1,1,1,1
DEV307,2,1,1,1,1
DEV308,1,1,1,1,1
DEV308,2,1,1,1,1
DEV309,1,1,1,1,1
DEV309,2,1,1,1,1
DEV310,1,1,1,1,1
DEV310,2,1,1,1,1
DEV311,1,1,1,1,1
DEV311,2,1,1,1,1
DEV312,1,1,1,1,1
DEV312,2,1,1,1,1
